combinacion,accuracy,f1,precision,recall
('volatile_acidity', 'citric_acid', 'free_sulfur_dioxide', 'total_sulfur_dioxide'),0.4804733727810651,0.44693994102925055,0.4777124650497432,0.4804733727810651
('volatile_acidity', 'citric_acid', 'free_sulfur_dioxide', 'density'),0.4982248520710059,0.46855587805458876,0.4548193137028377,0.4982248520710059
('volatile_acidity', 'citric_acid', 'free_sulfur_dioxide', 'pH'),0.48757396449704143,0.43895041606235824,0.4300769190328955,0.48757396449704143
('volatile_acidity', 'citric_acid', 'free_sulfur_dioxide', 'sulphates'),0.48284023668639053,0.44095566154863575,0.46427670460766046,0.48284023668639053
('volatile_acidity', 'citric_acid', 'free_sulfur_dioxide', 'alcohol'),0.5538461538461539,0.5245832788237884,0.512401740447032,0.5538461538461539
('volatile_acidity', 'citric_acid', 'total_sulfur_dioxide', 'density'),0.49467455621301776,0.47092068536539816,0.4742297364240759,0.49467455621301776
('volatile_acidity', 'citric_acid', 'total_sulfur_dioxide', 'pH'),0.4840236686390533,0.44773457311918846,0.43581405014295904,0.4840236686390533
('volatile_acidity', 'citric_acid', 'total_sulfur_dioxide', 'sulphates'),0.48284023668639053,0.4430211671730886,0.4551077711725161,0.48284023668639053
('volatile_acidity', 'citric_acid', 'total_sulfur_dioxide', 'alcohol'),0.5349112426035503,0.5077824069850629,0.4953618132995299,0.5349112426035503
('volatile_acidity', 'citric_acid', 'density', 'pH'),0.4970414201183432,0.46980280494661386,0.4566380630699285,0.4970414201183432
('volatile_acidity', 'citric_acid', 'density', 'sulphates'),0.5005917159763313,0.46910748129735536,0.45572408861140934,0.5005917159763313
('volatile_acidity', 'citric_acid', 'density', 'alcohol'),0.5325443786982249,0.5069249665804062,0.5087015622214428,0.5325443786982249
('volatile_acidity', 'citric_acid', 'pH', 'sulphates'),0.47810650887573963,0.4308285611268657,0.456132483365341,0.47810650887573963
('volatile_acidity', 'citric_acid', 'pH', 'alcohol'),0.527810650887574,0.5018119794910002,0.4866884092635403,0.527810650887574
('volatile_acidity', 'citric_acid', 'sulphates', 'alcohol'),0.5100591715976331,0.4818343190197043,0.4672857546949448,0.5100591715976331
('volatile_acidity', 'residual_sugar', 'chlorides', 'free_sulfur_dioxide'),0.493491124260355,0.462843064218758,0.4622212107419208,0.493491124260355
('volatile_acidity', 'residual_sugar', 'chlorides', 'total_sulfur_dioxide'),0.5112426035502958,0.4807182573055691,0.4876546405072673,0.5112426035502958
('volatile_acidity', 'residual_sugar', 'chlorides', 'density'),0.5053254437869823,0.47911690811881147,0.5016483461341497,0.5053254437869823
('volatile_acidity', 'residual_sugar', 'chlorides', 'pH'),0.48994082840236686,0.4605655844282663,0.44970827062853763,0.48994082840236686
('volatile_acidity', 'residual_sugar', 'chlorides', 'sulphates'),0.5124260355029586,0.47628149376126044,0.47061519706286276,0.5124260355029586
('volatile_acidity', 'residual_sugar', 'chlorides', 'alcohol'),0.5443786982248521,0.5154907960028884,0.5024959074049113,0.5443786982248521
('volatile_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'total_sulfur_dioxide'),0.49467455621301776,0.46007421958026534,0.46891555095029047,0.49467455621301776
('volatile_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'density'),0.5053254437869823,0.4803417151612955,0.47519318116788734,0.5053254437869823
('volatile_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'pH'),0.4816568047337278,0.44338769630158986,0.4531958131078431,0.4816568047337278
('volatile_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'sulphates'),0.5041420118343195,0.46823963697543036,0.49994667828579364,0.5041420118343195
('volatile_acidity', 'residual_sugar', 'free_sulfur_dioxide', 'alcohol'),0.5431952662721894,0.5166739136844913,0.5525086215645456,0.5431952662721894
('volatile_acidity', 'residual_sugar', 'total_sulfur_dioxide', 'density'),0.5242603550295858,0.4972361070520898,0.48884277039093804,0.5242603550295858
('volatile_acidity', 'residual_sugar', 'total_sulfur_dioxide', 'pH'),0.506508875739645,0.4730752675373181,0.48002281380207806,0.506508875739645
('volatile_acidity', 'residual_sugar', 'total_sulfur_dioxide', 'sulphates'),0.5053254437869823,0.4733455622980996,0.4772457193156494,0.5053254437869823
('volatile_acidity', 'residual_sugar', 'total_sulfur_dioxide', 'alcohol'),0.5325443786982249,0.5081473533204878,0.5073451476650922,0.5325443786982249
('volatile_acidity', 'residual_sugar', 'density', 'pH'),0.5254437869822485,0.4976232459787581,0.4840517330409878,0.5254437869822485
('volatile_acidity', 'residual_sugar', 'density', 'sulphates'),0.5266272189349113,0.49643006682565005,0.5055479018606239,0.5266272189349113
('volatile_acidity', 'residual_sugar', 'density', 'alcohol'),0.5372781065088758,0.5073782943008206,0.49420259347853457,0.5372781065088758
